A l'appartement de Holmes, où votre cousin, le Dr Watson, accueille Suzie avec un sourire et un mot aimable.... ;;;;;;;Je suis content que vous soyez venu. Peut- être m'aiderez-vous à convaincre Holmes d'accepter une affaire?;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Quel genre d'affaire ?
D'un  ton bourru;;;;;;La plus dérisoire que l'on m'ait jamais proposé de résoudre. Vous n'allez pas me croire, mais sir Dexter Mannington désire que je découvre comment son partenaire au golf s'y prend pour tricher. A mon avis, il serait plus difficile de trouver un golfeur qui ne triche pas....;;;;;;;;;;;;;;;;
;;;;;;;Allons, Holmes, vous m'avez dit cent fois que vous préférez un problème futile, mais complexe, à un meurtre tout simple.... ;;;;;;;;;;;;;;;
En bourrant sa pipe. ;;;;;;Je doute que celui-ci soit très complexe, Watson. Il nous fera seulement perdre notre temps....;;;;;;;;;;;;;;;;
Watson éclate de rire et secoue la tête....;;;;;;;Holmes, de toutes les personnes que je connais, vous êtes celle qui perd le plus de temps et, quand vous n avez rien a faire,vous n arretez pas de vous... plaindre. Indépendamment de cela, vous m'avez dit vous-même que vous aimeriez avoir l'occasion de jouer un peu au golf. Même si l'affaire est futile, nous passerions une journée agréable sur les links de Woking.... ;;;;;;;;;;;;;;;
;;;;;;J'avais envisagé cet aspect de la question. C'est pourquoi notre ami est ici aujourd'hui et pourquoi j'ai écrit à sir Dexter que j'acceptais son offre au nom de votre cousin. Vous devriez aller chercher nos clubs de golf dans le débarras, pendant que j'expose l'affaire à votre cousin.;;;;;;;;;;;;;;;;
Watson sort de la pièce et Holmes se tourne vers vous;;;;;;Vous en savez déjà presque aussi long que moi. Sir Dexter joue régulièrement au golf avec son ami John Gregg. Bien que sir Dexter soit indiscutablement meilleur joueur, monsieur Gregg gagne la plupart des parties. J'ai répondu à sir Dexter que l'un de mes collaborateurs enquêterait sur la question. Demain, Watson et moi jouerons avec sir Dexter et monsieur Gregg sur le terrain de golf de Woking. Alfie, un de mes irréguliers de Baker Street me servira de caddie, tandis que vous porterez le sac de Watson. Avec trois paires d'yeux pénétrants braqués sur le problème, en plus de ceux de Watson et de sir... Dexter, nous devrions tirer l'affaire au clair. Je doute que sir Dexter ait fait appel à moi uniquement pour pincer un tricheur. Je pense qu'il souhaite plutôt s'assurer de notre compétence avant de nous confier l'affaire qui lui tient réellement a coeur....;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Je ferai de mon mieux, monsieur Holmes. Si nous découvrons que son ami triche, qu'est-ce que sir Dexter désire que nous fassions ?
Holmes sourit....;;;;;;C'est le point délicat. Nous sommes censés mettre un terme à la supercherie sans faire quoi que ce soit qui puisse embarrasser monsieur Gregg. Nous devrons observer ce qui se passe jusqu'au quatorzième trou. A ce moment-là, ils ont l'habitude de «'arrêter au club-house pour prendre des rafraîchissements. Nous profiterons de ce moment-là pour confronter nos observations, cerner le problème et trouver une solution appropriée....;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Si problème il y a. Il se pourrait que sir Dexter soit mauvais joueur et se refuse à admettre que son adversaire est meilleur que lui...
;;;;;;Très possible. Vous avez raision de me rappeler que c'est presque toujours une erreur de chercher une explication avant d'être en possession de tous les éléments....;;;;;;;;;;;;;;;;
Sur ces mots, un bruit vous fait lever la tête. Watson franchit la porte en traînant derrière lui deux sacs de golf. Ces sacs sont du même modèle, mais l'un d'eux ne contient que six clubs alors que, dans l'autre, s'entassent au moins une douzaine de clubs. Holmes observe la direction de votre regard;;;;;;Oui, Watson et moi n'avons pas la même conception de l'équipement nécessaire. Mais je suis certain qu'un homme aussi perspicace que vous déterminera aisément lequel de ces deux sacs est le mien.;;;;;;;;;;;;;;;;
