99;099... Le message de sherlock Holmes est, comme la plupart de ceux émanant du célèbre détective, laconique et hermétique. Il dit seulement : « Soyez chez moi cet après-midi à deux heures si vous avez le temps de m'aider à régler une broutille. » Bien entendu, vous vous précipitez au 221 B Baker Street. Mme Hudson, la propriétaire, vous fait monter à l'appartement de Holmes, où votre cousin, le Dr Watson, vous accueille avec un sourire et un mot aimable.... Je suis content que vous soyez venu, dit-il. Peut- être m'aiderez-vous à convaincre Holmes d'accepter une affaire?... Quel genre d'affaire ? demandez-vous.... La plus dérisoire que l'on m'ait jamais proposé de résoudre, répond Holmes d'un ton bourru. Vous n'allez pas me croire, mais sir Dexter Mannington désire que je découvre comment son partenaire au golf s'y prend pour tricher. A mon avis, il serait plus difficile de trouver un golfeur qui ne triche pas.... Allons, Holmes, riposte Watson, vous m'avez dit cent fois que vous préférez un problème futile, mais complexe, à un meurtre tout simple.... Je doute que celui-ci soit très complexe, Watson, rétorque Holmes en bourrant sa pipe. Il nous fera seulement perdre notre temps.... Watson éclate de rire et secoue la tête.... Holmes, de toutes les personnes que je connais, vous êtes celle qui perd le plus de temps et, quand vous n avez rien a faire,vous n arretez pas de vous... plaindre. Indépendamment de cela, vous m'avez dit vous-même que vous aimeriez avoir l'occasion de jouer un peu au golf. Même si l'affaire est futile, nous passerions une journée agréable sur les links de Woking.... J'avais envisagé cet aspect de la question, dit Holmes. C'est pourquoi notre ami est ici aujourd'hui et pourquoi j'ai écrit à sir Dexter que j'acceptais son offre au nom de votre cousin. Vous devriez aller chercher nos clubs de golf dans le débarras, pendant que j'expose l'affaire à votre cousin. Watson sort de la pièce et Holmes se tourne vers vous.... Vous en savez déjà presque aussi long que moi, commence le détective. Sir Dexter joue régulièrement au golf avec son ami John Gregg. Bien que sir Dexter soit indiscutablement meilleur joueur, monsieur Gregg gagne la plupart des parties. J'ai répondu à sir Dexter que l'un de mes collaborateurs enquêterait sur la question. Demain, Watson et moi jouerons avec sir Dexter et monsieur Gregg sur le terrain de golf de Woking. Alfie, un de mes irréguliers de Baker Street me servira de caddie, tandis que vous porterez le sac de Watson. Avec trois paires d'yeux pénétrants braqués sur le problème, en plus de ceux de Watson et de sir... Dexter, nous devrions tirer l'affaire au clair. Je doute que sir Dexter ait fait appel à moi uniquement pour pincer un tricheur. Je pense qu'il souhaite plutôt s'assurer de notre compétence avant de nous confier l'affaire qui lui tient réellement a coeur.... Je ferai de mon mieux, monsieur Holmes, répon- dez-vous. Si nous découvrons que son ami triche, qu'est-ce que sir Dexter désire que nous fassions ? Holmes sourit.... C'est le point délicat. Nous sommes censés mettre un terme à la supercherie sans faire quoi que ce soit qui puisse embarrasser monsieur Gregg. Nous devrons observer ce qui se passe jusqu'au quatorzième trou. A ce moment-là, ils ont l'habitude de «'arrêter au club-house pour prendre des rafraîchissements. Nous profiterons de ce moment-là pour confronter nos observations, cerner le problème et trouver une solution appropriée.... Si problème il y a, objectez-vous. Il se pourrait que sir Dexter soit mauvais joueur et se refuse à admettre que son adversaire est meilleur que lui.... Très possible, reconnaît Holmes. Vous avez rai- ion de me rappeler que c'est presque toujours une erreur de chercher une explication avant d'être en possession de tous les éléments.... Sur ces mots, un bruit vous fait lever la tête. Watson franchit la porte en traînant derrière lui deux sacs de golf. Ces sacs sont du même modèle, mais l'un d'eux ne contient que six clubs alors que, dans l'autre, s'entassent au moins une douzaine de clubs. Holmes observe la direction de votre regard et dit :... Oui, Watson et moi n'avons pas la même conception de l'équipement nécessaire. Mais je suis certain qu'un homme aussi perspicace que vous déterminera aisément lequel de ces deux sacs est le mien.;;;;;;x;x;x;;;;x;;;x;;;;;;;;;;;;;;;;;si vous répondez que c'est le sac plein ;366  ;si vous répondez que c'est le sac à moitié vide  ;149  ;si vous demandez des renseignements complémentaires  ;130 ;;;;;;;;;;;;;;
100;100... Si j'en suis sûr ? rétorque Héritier 4 avec humeur. Ah, je vois ce qui vous tracasse. Il avait promis de m'envoyer Le Mystère d'Edwin Drood, mais il l'a remplacé par le livre de Jules Verne parce que Dickens est mort avant d'avoir achevé son roman. C'était un excellent choix.;;;;x;;;;;;;;;;;;;;;;;;11;;;;Questionnaire;;;;;;;;;;;;;;;;;;;;;;;;;
101;101... Pendant que vous parlez à Héritier 3, vous avez conscience d'un mouvement au- dessus de votre tête et, en levant les yeux, vous voyez un bras vêtu de tweed faire basculer l'une des gargouilles du balcon qui vous surplombe.... Attention ! criez-vous en poussant Héritier 3 hors de son fauteuil et de la trajectoire de la sculpture. Tandis que la gargouille s'écrase bruyamment sur la terrasse, vous aidez l'homme terrifié à se mettre à l'abri contre le mur de la maison. En réfléchissant à ce qui vient de se passer, vous vous rappelez que seuls deux des invités portaient ce jour-là un veston de tweed : des cousins de sir Dexter, Charles et Dennis. L'un d'eux a dû faire tomber la gargouille du balcon. ;;;x;;;;;;;;;;;;x;;;;;x;x;Z;;;;326;;;;;;;;;;;;;;;;;;;;;;;;;
102;102... S'il y avait quelque chose de dérangé ? dit-il perplexe. Bien sûr que oui, monsieur, sinon je n'aurais pas eu besoin de mettre de l'ordre.... Vous voyant lever les yeux au ciel, il se ressaisit brusquement.... J'ai remarqué quelque chose de bizarre, monsieur : le coffret contenant les pistolets de fantaisie avait été déplacé, mais les deux pistolets étaient dedans.;;;;;;;;;;;;;;;;;;;;;;DD;;;;406;;;;;;;;;;;;;;;;;;;;;;;;;
103;103... Tout en réfléchissant aux questions posées par la lettre que vous venez de lire, vous passez au document suivant. Il s'agit de la copie d'une lettre adres-... sée par Matthew Mannington à Elizabeth, datée du 14 mars 1870. Vous la lisez attentivement, mais vous n'y trouvez aucun renseignement permettant d'identifier l'héritier. C'est une missive tendre et affectueuse. Après la longue absence de sa fille, Matthew souhaitait la revoir dès qu'elle pourrait régler ses affaires et effectuer le voyage.... Vous voyez à quel point mon frère était désireux de retrouver sa fille, commente sir Dexter. J'avais conservé quelques doutes sur leur réconciliation jusqu'à ce que j'aie lu cette lettre, qui m'a convaincu de la sincérité de mon frère. Mais je vous retarde. Vous avez encore beaucoup de lettres à lire.... Le document suivant est la copie d'une lettre adressée par Matthew Mannington à Robert Barnett, datée du 30 juin 1870.... Mon cher petit-fils,... J'ai été ravi d'apprendre par ta m'ere que, malgré ton jeune âge, tu te passionnes pour la bonne littérature. On a toujours profit à lire les bons auteurs modernes. monsieur Charles Dickens vient de commencer un nouveau roman, « Le Mystère d'Edwin Drood », dont les magazines ont publié les premiers chapitres. Dès que l'ouvrage sera terminé et édité sous forme de livre, je t'en enverrai un exemplaire. J'espère que tu prendras autant de plaisir à le lire que j'en éprouve à avoir un petit-fils aussi prometteur.... Matthew Mannington... Lorsque vous reposez la lettre en tendant la main vers la suivante, vous entendez glousser sir Dexter.... Cette lettre me fait toujours rire, explique-t-il quand vous l'interrogez du regard, obstiné comme il l'était, voilà une promesse dont mon frère a dû se mordre les doigts.;;;;;;;;;;x;;;;;x;x;;;;x;;;;;;;d'Intuition;De 2 à 6 ;391 ;De 7 à 12 ;129 ;;;;;;;;;;;;;;;;;;;;
104;104... - Eh bien, l'interrogatoire tire à sa fin, dit sir Dexter. Il n'y a plus que Bruce qui aurait pu voir ou entendre quelque chose. Voulez-vous lui parler ? ;;;;;;;;;;;;;;;x;;;;x;;;;;;;416;;;;;;;;;;;;;;;;;;;;;;;;;
105;105... Vous fouillez dans vos souvenirs en essayant de vous rappeler l'enchainement des faits qui ont suivi le coup de feu. Il vous semble que Charles a dû être l'un des premiers à arriver dans le couloir. Est-ce qu'il mentirait ? ;;;;;;;;;;;;;;;;;;;;x;;;27;;;407;;;;;;;;;;;;;;;;;;;;;;;;;
106;106... - C'est cousin Bruce qui a tué Héritier 3, répondez- vous aussitôt. Il avait un mobile : Héritier 3 constituait une menace pour son héritage, et il a pu regagner sa chambre avant que quelqu'un ne le voie.... On peut difficilement considérer cela comme une preuve incontestable, répond Holmes. De plus, vous savez qu'il n'est pour rien dans l'attentat de l'après-midi, et je suis persuadé que les deux affaires sont liées.;;;x;;;;;;;;;;;;;;;;x;;;;;;;474;;;;;;;;;;;;;;;;;;;;;;;;;
107;107... Merci de votre aide, dit sir Dexter.... C'est la moindre des choses, répond monsieur Amos. Je vous souhaite une bonne journée. ;;;;;;;;;x;;;;;;x;;;;;;;;;;;286;;;;;;;;;;;;;;;;;;;;;;;;;
108;108... Dennis et Charles blêmissent et scrutent votre visage en espérant y découvrir la preuve qu'il s'agit d'un simple bluff.... Bon, eh bien on ne lui a pas fait de mal, à cet escroc, pas vrai ? demande Dennis. Tout ce qu'on voulait, c'était lui faire suffisamment peur pour qu'il déguerpisse et renonce à faire main basse sur l'héritage.... Vous avez fait cela ! rugit sir Dexter et les deux coupables baissent la tête. Eh bien, vous n'avez plus de souci à vous faire pour l'héritage ! continue-t-il. Je referai mon testament dès ce soir, et je léguerai à chacun de vous exactement ce qu'il mérite !... Les deux cousins sortent précipitamment de la piece... Eh bien, voilà une bonne chose de faite, constatez-vous avec un petit sourire. Vous avez agi pour le mieux, vous félicite sir Dexter. Je suis déçu par ces deux garçons, mais je suis content que cette affaire soit réglée. Autrement, ils auraient pu recommencer... et réussir ! ;;;;;;;;;;;;;;;x;;;;;x;x;;28;;;395;;;;;;;;;;;;;;;;;;;;;;;;;
